"DateOfReport","ADM0_VIZ_NAME","Short_Name_ZH","cum_conf","cum_death"
"2020-04-06","China","中国",83071,3340
"2020-04-06","Republic of Korea","大韩民国",10331,192
"2020-04-06","Australia","澳大利亚",5844,42
"2020-04-06","Japan","日本",3906,80
"2020-04-06","Malaysia","马来西亚",3793,62
"2020-04-06","Philippines","菲律宾",3660,163
"2020-04-06","Singapore","新加坡",1375,6
"2020-04-06","New Zealand","新西兰",943,1
"2020-04-06","Viet Nam","越南",245,0
"2020-04-06","Brunei Darussalam","文莱达鲁萨兰国",135,1
"2020-04-06","Cambodia","柬埔寨",116,0
"2020-04-06","Guam","关岛
",113,4
"2020-04-06","French Polynesia","法属波利尼西亚
",42,0
"2020-04-06","New Caledonia","新喀里多尼亚
",18,0
"2020-04-06","Mongolia","蒙古",15,0
"2020-04-06","Fiji","斐济",14,0
"2020-04-06","Lao People's Democratic Republic","老挝人民民主共和国",12,0
"2020-04-06","Northern Mariana Islands (Commonwealth of the)","北马里亚纳群岛自由邦
",8,1
"2020-04-06","Papua New Guinea","巴布亚新几内亚",1,0
"2020-04-06","Spain","西班牙",130759,12418
"2020-04-06","Italy","意大利",128948,15889
"2020-04-06","Germany","德国",95391,1434
"2020-04-06","France","法国",69607,8064
"2020-04-06","The United Kingdom","大不列颠及北爱尔兰联合王国",47810,4934
"2020-04-06","Turkey","土耳其",27069,574
"2020-04-06","Switzerland","瑞士",21065,715
"2020-04-06","Belgium","比利时",19691,1447
"2020-04-06","Netherlands","荷兰",17851,1766
"2020-04-06","Austria","奥地利",11983,204
"2020-04-06","Portugal","葡萄牙",11278,295
"2020-04-06","Israel","以色列",8018,46
"2020-04-06","Sweden","瑞典",6830,401
"2020-04-06","Norway","挪威",5640,58
"2020-04-06","Russian Federation","俄罗斯联邦",5389,45
"2020-04-06","Ireland","爱尔兰",5111,158
"2020-04-06","Czechia","捷克",4587,67
"2020-04-06","Denmark","丹麦",4369,179
"2020-04-06","Poland","波兰",4102,94
"2020-04-06","Romania","罗马尼亚",3864,148
"2020-04-06","Luxembourg","卢森堡",2804,36
"2020-04-06","Finland","芬兰",1927,28
"2020-04-06","Serbia","塞尔维亚",1908,51
"2020-04-06","Greece","希腊",1735,73
"2020-04-06","Iceland","冰岛",1486,4
"2020-04-06","Ukraine","乌克兰",1319,38
"2020-04-06","Croatia","克罗地亚",1182,15
"2020-04-06","Estonia","爱沙尼亚",1097,15
"2020-04-06","Slovenia","斯洛文尼亚",997,28
"2020-04-06","Republic of Moldova","摩尔多瓦共和国",864,15
"2020-04-06","Lithuania","立陶宛",811,13
"2020-04-06","Armenia","亚美尼亚",746,7
"2020-04-06","Hungary","匈牙利",744,38
"2020-04-06","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那",662,21
"2020-04-06","Kazakhstan","哈萨克斯坦",604,5
"2020-04-06","Azerbaijan","阿塞拜疆",584,5
"2020-04-06","Belarus","白俄罗斯",562,8
"2020-04-06","North Macedonia","北马其顿",555,18
"2020-04-06","Latvia","拉脱维亚",533,1
"2020-04-06","Bulgaria","保加利亚",531,20
"2020-04-06","Andorra","安道尔",523,17
"2020-04-06","Slovakia","斯洛伐克",485,0
"2020-04-06","Cyprus","塞浦路斯",446,14
"2020-04-06","Uzbekistan","乌兹别克斯坦",390,2
"2020-04-06","Albania","阿尔巴尼亚",377,21
"2020-04-06","San Marino","圣马力诺",266,32
"2020-04-06","Malta","马耳他",234,0
"2020-04-06","Kyrgyzstan","吉尔吉斯斯坦",216,4
"2020-04-06","Montenegro","黑山",203,2
"2020-04-06","Georgia","格鲁吉亚",188,2
"2020-04-06","Faroe Islands","法罗群岛
",181,0
"2020-04-06","Jersey","泽西岛
",155,3
"2020-04-06","Guernsey","根西岛
",154,3
"2020-04-06","Kosovo[1]","科索沃[1]",145,1
"2020-04-06","Isle of Man","马恩岛
",127,1
"2020-04-06","Gibraltar","直布罗陀
",103,1
"2020-04-06","Liechtenstein","列支敦士登
",78,1
"2020-04-06","Monaco","摩纳哥",37,0
"2020-04-06","Greenland","格陵兰岛
",11,0
"2020-04-06","Holy See","梵蒂冈
",7,0
"2020-04-06","India","印度",4067,109
"2020-04-06","Indonesia","印度尼西亚",2491,209
"2020-04-06","Thailand","泰国",2220,26
"2020-04-06","Sri Lanka","斯里兰卡",176,5
"2020-04-06","Bangladesh","孟加拉国",123,12
"2020-04-06","Myanmar","缅甸",21,1
"2020-04-06","Maldives","马尔代夫",19,0
"2020-04-06","Nepal","尼泊尔",9,0
"2020-04-06","Bhutan","不丹",5,0
"2020-04-06","Timor-Leste","东帝汶",1,0
"2020-04-06","Iran (Islamic Republic of)","伊朗（伊斯兰共和国）",60500,3739
"2020-04-06","Pakistan","巴基斯坦",3424,50
"2020-04-06","Saudi Arabia","沙特阿拉伯",2523,38
"2020-04-06","United Arab Emirates","阿拉伯联合酋长国",2076,11
"2020-04-06","Qatar","卡塔尔",1604,4
"2020-04-06","Egypt","埃及",1173,78
"2020-04-06","Morocco","摩洛哥",1113,71
"2020-04-06","Iraq","伊拉克",1031,64
"2020-04-06","Bahrain","巴林",723,4
"2020-04-06","Kuwait","科威特",665,1
"2020-04-06","Tunisia","突尼斯",574,22
"2020-04-06","Lebanon","黎巴嫩",541,19
"2020-04-06","Jordan","约旦",345,5
"2020-04-06","Afghanistan","阿富汗",337,7
"2020-04-06","Oman","阿曼",331,2
"2020-04-06","occupied Palestinian territory","巴勒斯坦被占领土
",253,1
"2020-04-06","Djibouti","吉布提",90,0
"2020-04-06","Syrian Arab Republic","阿拉伯叙利亚共和国",19,2
"2020-04-06","Libya","利比亚",18,1
"2020-04-06","Sudan","苏丹",12,2
"2020-04-06","Somalia","索马里",7,0
"2020-04-06","United States of America","美利坚合众国",333811,9559
"2020-04-06","Canada","加拿大",15806,293
"2020-04-06","Brazil","巴西",11130,486
"2020-04-06","Chile","智利",4815,37
"2020-04-06","Ecuador","厄瓜多尔",3747,191
"2020-04-06","Peru","秘鲁",2281,83
"2020-04-06","Mexico","墨西哥",2143,94
"2020-04-06","Panama","巴拿马",1988,54
"2020-04-06","Dominican Republic","多米尼加 ",1828,86
"2020-04-06","Argentina","阿根廷 ",1554,46
"2020-04-06","Colombia","哥伦比亚",1485,35
"2020-04-06","Puerto Rico","波多黎各
",513,21
"2020-04-06","Costa Rica","哥斯达黎加",454,2
"2020-04-06","Uruguay","乌拉圭",406,6
"2020-04-06","Cuba","古巴",350,9
"2020-04-06","Honduras","洪都拉斯",298,22
"2020-04-06","Bolivia (Plurinational State of)","玻利维亚（多民族国）",183,11
"2020-04-06","Venezuela (Bolivarian Republic of)","委内瑞拉(玻利瓦尔共和国)",159,3
"2020-04-06","Martinique","马提尼克岛
",149,4
"2020-04-06","Guadeloupe","瓜德罗普岛
",135,7
"2020-04-06","Paraguay","巴拉圭",113,5
"2020-04-06","Trinidad and Tobago","特立尼达和多巴哥",105,8
"2020-04-06","Guatemala","危地马拉",70,3
"2020-04-06","El Salvador","萨尔瓦多",69,3
"2020-04-06","French Guiana","法属圭亚那
",68,0
"2020-04-06","Aruba","阿鲁巴
",64,0
"2020-04-06","Jamaica","牙买加",58,3
"2020-04-06","Barbados","巴巴多斯",56,1
"2020-04-06","United States Virgin Islands","美属维尔京群岛
",43,1
"2020-04-06","Cayman Islands","开曼群岛
",39,1
"2020-04-06","Bermuda","百慕大
",37,0
"2020-04-06","Sint Maarten","圣马丁
",37,6
"2020-04-06","Saint Martin","圣马丁岛
",31,2
"2020-04-06","Bahamas","巴哈马",29,5
"2020-04-06","Guyana","圭亚那",29,4
"2020-04-06","Haiti","海地",24,1
"2020-04-06","Antigua and Barbuda","安提瓜和巴布达",15,0
"2020-04-06","Dominica","多米尼克",14,0
"2020-04-06","Saint Lucia","圣卢西亚",14,0
"2020-04-06","Curaçao","库拉索岛
",13,1
"2020-04-06","Grenada","格林纳达",12,0
